LT_UNQ_NO,INDUSTRY_CD,STDG_EMD_CD,SLS_GRD_2301,SLS_GRD_2302
1111011400101600000,A01,11110114,1.0,1.0
1111011200101950000,A02,11110112,2.0,2.0
1150010500107990005,A01,11500105,2.0,2.0
1154510300108850004,A01,11545103,2.0,2.0
1111012800100150001,A01,11110128,1.0,1.0
1174010800100380013,A03,11740108,2.0,2.0
1111013700102120000,A03,11110137,1.0,1.0
1150010300103390023,A01,11500103,3.0,3.0
1154510200110200022,A11,11545102,5.0,5.0
1144012000103310008,A03,11440120,2.0,2.0
1121510500106170035,A01,11215105,4.0,4.0
1168010600109380022,A05,11680106,2.0,2.0
1159010700101300014,A03,11590107,2.0,2.0
1141011600100020023,A03,11410116,3.0,3.0
1129010100101610004,A01,11290101,3.0,3.0
1121510200102200005,A03,11215102,1.0,1.0
1154510200110130037,A01,11545102,4.0,4.0
1174010800102440012,A03,11740108,3.0,3.0
1171011100101360005,A03,11710111,3.0,3.0
1153010300101270005,A11,11530103,1.0,1.0
1174010500102290001,A13,11740105,5.0,5.0
1165010600100690005,A03,11650106,2.0,2.0
1174010800104560000,A01,11740108,2.0,2.0
1153010300100250022,A01,11530103,4.0,4.0
1138010700105780096,A12,11380107,2.0,2.0
1144012200103920001,A13,11440122,2.0,2.0
1126010100101310001,A01,11260101,2.0,2.0
1132010500103720011,A03,11320105,3.0,3.0
1126010500103420006,A03,11260105,3.0,3.0
1165010100108550020,A08,11650101,5.0,5.0
1168010100108310042,A01,11680101,1.0,1.0
1165010100109070003,A07,11650101,3.0,3.0
1168010800101830004,A01,11680108,2.0,2.0
1168010700106640016,A03,11680107,1.0,1.0
1171010100103350004,A08,11710101,3.0,3.0
1150010900104520002,A08,11500109,4.0,4.0
1171010200100110009,A13,11710102,3.0,3.0
1123010700107020001,A13,11230107,2.0,2.0
1156012300100090000,A01,11560123,2.0,2.0
1156012100100770009,A13,11560121,4.0,4.0
1168010700105830003,A13,11680107,3.0,3.0
1144012100101700011,A01,11440121,4.0,4.0
1121510400102580039,A01,11215104,2.0,2.0
1165010800117130001,A01,11650108,3.0,3.0
1171011100101490013,A01,11710111,2.0,2.0
1147010100109060008,A11,11470101,2.0,2.0
1156013300110680010,A03,11560133,3.0,3.0
1117010100101050194,A01,11170101,2.0,2.0
1121510700100050024,A01,11215107,2.0,2.0
1171010700101930011,A03,11710107,3.0,3.0
1123010900102810009,A01,11230109,4.0,4.0
1144012200104120026,A03,11440122,1.0,1.0
1138010200100840000,A03,11380102,1.0,1.0
1123010200101120031,A01,11230102,3.0,3.0
1162010200114310044,A01,11620102,3.0,3.0
1117012900103000019,A04,11170129,1.0,1.0
1111011000100010016,A03,11110110,2.0,2.0
1168010400100500011,A01,11680104,1.0,1.0
1147010300105460025,A03,11470103,3.0,3.0
1123010400105970028,A01,11230104,4.0,4.0
1120011400106560681,A01,11200114,2.0,2.0
1159010800104150007,A01,11590108,3.0,3.0
1132010500105030001,A03,11320105,3.0,3.0
1174010500103300001,A02,11740105,4.0,4.0
1147010300109880001,A01,11470103,3.0,3.0
1153010300101270017,A01,11530103,4.0,4.0
1129012500101020036,A11,11290125,3.0,3.0
1138010400104300017,A01,11380104,4.0,4.0
1171010700100290012,A02,11710107,5.0,5.0
1171010400101430001,A11,11710104,3.0,3.0
1162010200114320068,A01,11620102,1.0,1.0
1171011100102010002,A01,11710111,2.0,2.0
1111016900100150018,A03,11110169,4.0,4.0
1156010800102030000,A01,11560108,3.0,3.0
1123010600104300002,A01,11230106,2.0,2.0
1123010400106460081,A03,11230104,3.0,3.0
1153010200106850155,A08,11530102,3.0,3.0
1168010100107920059,A01,11680101,2.0,2.0
1117010200100010471,A03,11170102,1.0,1.0
1171011100100480002,A08,11710111,3.0,3.0
1165010800116980001,A14,11650108,3.0,3.0
1144010400100260003,A03,11440104,2.0,2.0
1141011700107210007,A11,11410117,2.0,2.0
1130510100104650046,A04,11305101,3.0,3.0
1159010400101500000,A04,11590104,3.0,3.0
1117011300100780025,A03,11170113,5.0,5.0
1165010800113020033,A01,11650108,3.0,3.0
1165010800113480010,A03,11650108,3.0,3.0
1144010100103950001,A01,11440101,1.0,1.0
1129013800102370136,A01,11290138,5.0,5.0
1144012500101650002,A01,11440125,3.0,3.0
1174010500104150018,A01,11740105,2.0,2.0
1120011500103000001,A13,11200115,1.0,1.0
1121510700100060002,A01,11215107,2.0,2.0
1156011800100800026,A03,11560118,3.0,3.0
1144012000103330013,A01,11440120,3.0,3.0
1156010400100170003,A01,11560104,2.0,2.0
1156011900101100000,A14,11560119,1.0,1.0
1135010500105950000,A01,11350105,2.0,2.0
1129011600100160000,A03,11290116,3.0,3.0
1111014900100940000,A03,11110149,2.0,2.0
1135010600103600013,A01,11350106,2.0,2.0
1168010700105490000,A03,11680107,4.0,4.0
1171010200100110008,A01,11710102,2.0,2.0
1159010100100570001,A05,11590101,3.0,3.0
1121510300102130013,A02,11215103,3.0,3.0
1126010200104990000,A08,11260102,4.0,4.0
1144011000100570026,A05,11440110,2.0,2.0
1138010600100120029,A01,11380106,2.0,2.0
1156011000100440002,A11,11560110,3.0,3.0
1168010700106030000,A13,11680107,1.0,1.0
1129013600100670037,A08,11290136,3.0,3.0
1171011300102580141,A03,11710113,4.0,4.0
1171010300104770001,A05,11710103,4.0,4.0
1165010100108140028,A04,11650101,3.0,3.0
1144010800108060000,A04,11440108,2.0,2.0
1121510700100160024,A03,11215107,2.0,2.0
1130510300102290033,A12,11305103,1.0,1.0
1121510500100080022,A08,11215105,3.0,3.0
1123010500100930008,A01,11230105,4.0,4.0
1144012000103250007,A13,11440120,2.0,2.0
1114010500101010002,A03,11140105,2.0,2.0
1126010100100500001,A11,11260101,3.0,3.0
1123010300101350002,A07,11230103,4.0,4.0
1114015500103020015,A12,11140155,3.0,3.0
1111013500100110024,A12,11110135,2.0,2.0
1150010300110680025,A01,11500103,1.0,1.0
1171010100101910006,A03,11710101,1.0,1.0
1121510500105470064,A03,11215105,3.0,3.0
1162010300110600006,A01,11620103,2.0,2.0
1159010100103090018,A01,11590101,2.0,2.0
1123010100100980038,A12,11230101,1.0,1.0
1132010500101230074,A01,11320105,3.0,3.0
1135010600101420015,A03,11350106,2.0,2.0
1156011000100120001,A01,11560110,2.0,2.0
1123010700103410000,A01,11230107,2.0,2.0
1162010100116100026,A13,11620101,2.0,2.0
1165010100104500006,A03,11650101,2.0,2.0
1123010600104310002,A09,11230106,1.0,1.0
1111016900101100002,A03,11110169,2.0,2.0
1129010800100590021,A01,11290108,4.0,4.0
1141010200104650000,A14,11410102,2.0,2.0
1171010100102100001,A03,11710101,1.0,1.0
1165010800115570007,A01,11650108,2.0,2.0
1150010300108400011,A06,11500103,4.0,4.0
1150010300111290005,A03,11500103,4.0,4.0
1117013100100010129,A14,11170131,2.0,2.0
1147010300101310004,A03,11470103,5.0,5.0
1154510300108910019,A01,11545103,2.0,2.0
1156013300106800007,A01,11560133,3.0,3.0
1165010800114430011,A01,11650108,1.0,1.0
1129013900102460010,A08,11290139,3.0,3.0
1138010800100700034,A01,11380108,4.0,4.0
1120011500102990056,A03,11200115,3.0,3.0
1154510300108300002,A03,11545103,3.0,3.0
1111018200101460008,A01,11110182,1.0,1.0
1123010900102760039,A07,11230109,4.0,4.0
1159010200102500016,A06,11590102,3.0,3.0
1114011400100700005,A03,11140114,1.0,1.0
1165010800115780001,A01,11650108,2.0,2.0
1165010800113640039,A11,11650108,2.0,2.0
1141011900103450030,A14,11410119,2.0,2.0
1171010700100730002,A01,11710107,2.0,2.0
1156013300108620006,A11,11560133,4.0,4.0
1150010300110320025,A01,11500103,2.0,2.0
1130510400101670006,A01,11305104,4.0,4.0
1132010800102800006,A01,11320108,4.0,4.0
1129011600100690000,A13,11290116,4.0,4.0
1132010600106720032,A01,11320106,3.0,3.0
1138011400102970000,A03,11380114,1.0,1.0
1168010600109460016,A08,11680106,2.0,2.0
1159010700111390000,A03,11590107,4.0,4.0
1130510300102220066,A12,11305103,4.0,4.0
1150010300110200009,A01,11500103,3.0,3.0
1111015600101660000,A03,11110156,4.0,4.0
1147010100109720007,A03,11470101,3.0,3.0
1154510200109590012,A01,11545102,4.0,4.0
1171010500100240011,A03,11710105,1.0,1.0
1165010100104500002,A01,11650101,1.0,1.0
1168010700105770007,A03,11680107,2.0,2.0
1144012300104840005,A08,11440123,3.0,3.0
1168010100107000025,A11,11680101,2.0,2.0
1153010200111240071,A01,11530102,1.0,1.0
1144012700116010000,A08,11440127,3.0,3.0
1156013300109070051,A03,11560133,4.0,4.0
1168010100107330018,A01,11680101,1.0,1.0
1141011000100030129,A03,11410110,3.0,3.0
1126010300103120019,A01,11260103,3.0,3.0
1159010700110380051,A03,11590107,4.0,4.0
1156011100102840001,A03,11560111,3.0,3.0
1171011100101110000,A03,11710111,2.0,2.0
1135010500107460003,A03,11350105,4.0,4.0
1120011500102890004,A03,11200115,1.0,1.0
1114016200103690047,A08,11140162,4.0,4.0
1138010800100550032,A03,11380108,2.0,2.0
1168010700105750000,A03,11680107,1.0,1.0
1111013400100740000,A03,11110134,2.0,2.0
1126010600106480000,A14,11260106,3.0,3.0
1120011400106560334,A01,11200114,2.0,2.0
1150010900108170000,A03,11500109,3.0,3.0
1162010200115870014,A01,11620102,2.0,2.0
1150010100102570003,A01,11500101,4.0,4.0
1130510100108670191,A10,11305101,5.0,5.0
1114015400100690006,A01,11140154,1.0,1.0
1150010300100510089,A01,11500103,5.0,5.0
1168010800101420009,A01,11680108,2.0,2.0
1129011600100850083,A01,11290116,3.0,3.0
1132010600106510013,A01,11320106,4.0,4.0
1168010500101420000,A01,11680105,1.0,1.0
1117013000106580000,A03,11170130,3.0,3.0
1168010500100440017,A03,11680105,2.0,2.0
1165010800116030015,A03,11650108,2.0,2.0
1126010100103990075,A01,11260101,3.0,3.0
1114014400100730004,A06,11140144,2.0,2.0
1150010300109970011,A01,11500103,2.0,2.0
1114013800100610002,A13,11140138,3.0,3.0
1162010200116400013,A12,11620102,3.0,3.0
1114011400100580004,A05,11140114,2.0,2.0
1114012100101680000,A01,11140121,2.0,2.0
1171010700100030000,A01,11710107,3.0,3.0
1129013600100210103,A03,11290136,2.0,2.0
1171010300101230034,A01,11710103,3.0,3.0
1138010200100120004,A03,11380102,4.0,4.0
1153010700102020019,A13,11530107,3.0,3.0
1111017500112520000,A04,11110175,2.0,2.0
1150010300103410071,A07,11500103,2.0,2.0
1144012400103900078,A14,11440124,3.0,3.0
1114014600102960000,A03,11140146,1.0,1.0
1147010300105190008,A03,11470103,2.0,2.0
1117013100106570089,A04,11170131,1.0,1.0
1154510200102960024,A01,11545102,3.0,3.0
1156013200102150005,A01,11560132,3.0,3.0
1165010200100130001,A03,11650102,1.0,1.0
1171010400100840002,A03,11710104,2.0,2.0
1153010200104950001,A01,11530102,1.0,1.0
1174010200105080009,A01,11740102,4.0,4.0
1111012800101180031,A01,11110128,2.0,2.0
1120010300104020000,A08,11200103,3.0,3.0
1144012700100020279,A01,11440127,3.0,3.0
1132010700106550021,A03,11320107,3.0,3.0
1168010700105140002,A03,11680107,3.0,3.0
1144012500102000377,A02,11440125,3.0,3.0
1162010200107250019,A03,11620102,3.0,3.0
1165010800116570006,A01,11650108,2.0,2.0
1130510300101730001,A03,11305103,3.0,3.0
1141011800103980010,A06,11410118,3.0,3.0
1121510300102570101,A14,11215103,3.0,3.0
1153010600101340041,A06,11530106,3.0,3.0
1123010400106480063,A01,11230104,2.0,2.0
1117013100106410007,A03,11170131,2.0,2.0
1114014500101820021,A01,11140145,3.0,3.0
1168010800100600008,A03,11680108,1.0,1.0
1144012400102600028,A01,11440124,2.0,2.0
1132010600106680032,A11,11320106,3.0,3.0
1168010800100740019,A14,11680108,2.0,2.0
1168010700105500017,A03,11680107,2.0,2.0
1168010800101970021,A01,11680108,2.0,2.0
1126010600107860000,A03,11260106,3.0,3.0
1165010800114580003,A01,11650108,2.0,2.0
1135010500103310008,A08,11350105,2.0,2.0
1159010700110330010,A03,11590107,2.0,2.0
1130510300101750052,A06,11305103,2.0,2.0
1141010400101050001,A03,11410104,3.0,3.0
1168010300101710000,A03,11680103,1.0,1.0
1132010700106210001,A06,11320107,4.0,4.0
1156011800101140006,A01,11560118,1.0,1.0
1165010600100600078,A02,11650106,3.0,3.0
1165010700100190003,A01,11650107,1.0,1.0
1168010100106400023,A01,11680101,1.0,1.0
1141011800104550000,A01,11410118,3.0,3.0
1171010800101210007,A03,11710108,3.0,3.0
1129010100101220007,A03,11290101,1.0,1.0
1156010100106200300,A01,11560101,5.0,5.0
1162010200104750046,A08,11620102,3.0,3.0
1156011000100200000,A01,11560110,1.0,1.0
1150010300110190030,A01,11500103,4.0,4.0
1168010600108900049,A08,11680106,2.0,2.0
1144010200104780000,A01,11440102,2.0,2.0
1135010500111190051,A11,11350105,4.0,4.0
1135010300100890001,A01,11350103,3.0,3.0
1147010300105370006,A02,11470103,2.0,2.0
1114013400101920020,A01,11140134,3.0,3.0
1129012500101030101,A03,11290125,1.0,1.0
1174010500101640002,A01,11740105,3.0,3.0
1129013800102380443,A01,11290138,3.0,3.0
1171010400100300006,A03,11710104,2.0,2.0
1120011500102990155,A01,11200115,3.0,3.0
1126010200101250001,A01,11260102,3.0,3.0
1144012000103360013,A11,11440120,3.0,3.0
1154510300109190021,A01,11545103,4.0,4.0
1150010500107740005,A01,11500105,2.0,2.0
1144010200100070025,A01,11440102,4.0,4.0
1156011000100230003,A03,11560110,1.0,1.0
1111016500100090333,A01,11110165,4.0,4.0
1144012000103280062,A14,11440120,3.0,3.0
1144010500104940061,A11,11440105,1.0,1.0
1153010600103300000,A03,11530106,4.0,4.0
1150010900105980146,A01,11500109,3.0,3.0
1168010700106130002,A11,11680107,1.0,1.0
1129013600100670037,A01,11290136,2.0,2.0
1111017500101830009,A01,11110175,3.0,3.0
1162010100116020004,A01,11620101,2.0,2.0
1147010100113260000,A06,11470101,3.0,3.0
1147010200109230006,A08,11470102,1.0,1.0
1138010700105760010,A06,11380107,3.0,3.0
1123010100100980015,A01,11230101,3.0,3.0
1111011600100600000,A03,11110116,4.0,4.0
1120011500102890230,A03,11200115,3.0,3.0
1168010600109450028,A01,11680106,2.0,2.0
1144012400102600014,A03,11440124,2.0,2.0
1165010800114450003,A06,11650108,2.0,2.0
1150010300109350019,A12,11500103,3.0,3.0
1156011500100320001,A12,11560115,2.0,2.0
1150010500107990001,A11,11500105,3.0,3.0
1129013800102380458,A03,11290138,4.0,4.0
1174010300104900000,A10,11740103,2.0,2.0
1156012000100200008,A01,11560120,4.0,4.0
1171010100101800002,A14,11710101,2.0,2.0
1150010900108300005,A08,11500109,3.0,3.0
1154510100101510012,A01,11545101,4.0,4.0
1168011800109430004,A01,11680118,1.0,1.0
1174010700104640003,A03,11740107,4.0,4.0
1171010400100970001,A03,11710104,3.0,3.0
1153010200104940054,A11,11530102,3.0,3.0
1114011400103610001,A11,11140114,2.0,2.0
1121510700100110030,A05,11215107,3.0,3.0
1129013600100710044,A01,11290136,3.0,3.0
1165010200102570005,A03,11650102,4.0,4.0
1154510300109870000,A07,11545103,3.0,3.0
1147010100109770014,A02,11470101,3.0,3.0
1121510700100090051,A03,11215107,1.0,1.0
1150010300109040013,A01,11500103,2.0,2.0
1174010200103170024,A04,11740102,3.0,3.0
1138010400104030006,A01,11380104,2.0,2.0
1135010500111180044,A01,11350105,2.0,2.0
1114016100100640000,A03,11140161,2.0,2.0
1144012500102530003,A01,11440125,3.0,3.0
1135010600100840044,A02,11350106,2.0,2.0
1114012300100090015,A03,11140123,1.0,1.0
1171010400100070012,A01,11710104,1.0,1.0
1130510300100010066,A01,11305103,4.0,4.0
1111017000100680016,A07,11110170,4.0,4.0
1150010500107970009,A11,11500105,1.0,1.0
1168010100108320033,A03,11680101,3.0,3.0
1129013500100030031,A03,11290135,3.0,3.0
1126010100104960015,A15,11260101,1.0,1.0
1111016300101820005,A08,11110163,2.0,2.0
1150010900106200034,A01,11500109,3.0,3.0
1111010600100940000,A14,11110106,2.0,2.0
1114017100103980007,A03,11140171,2.0,2.0
1144012400102600052,A01,11440124,2.0,2.0
1117010400100870014,A01,11170104,1.0,1.0
1165010200100190013,A01,11650102,2.0,2.0
1132010700105810071,A03,11320107,4.0,4.0
1117010100100190000,A02,11170101,2.0,2.0
1114011300100170008,A13,11140113,2.0,2.0
1171011400101990003,A01,11710114,4.0,4.0
1144012000103770002,A11,11440120,3.0,3.0
1129013100101360000,A04,11290131,3.0,3.0
1144011500100890001,A03,11440115,4.0,4.0
1130510300100300020,A13,11305103,2.0,2.0
1120011400106850510,A01,11200114,3.0,3.0
1162010100116600003,A03,11620101,4.0,4.0
1117012500104260000,A04,11170125,3.0,3.0
1121510700100460001,A03,11215107,1.0,1.0
1174010700105130001,A03,11740107,1.0,1.0
1147010300100540001,A08,11470103,3.0,3.0
1154510200102970001,A01,11545102,3.0,3.0
1168010100106990002,A01,11680101,1.0,1.0
1138010200101760016,A01,11380102,3.0,3.0
1126010400102390154,A01,11260104,2.0,2.0
1168010500100260018,A01,11680105,2.0,2.0
1129013900103320023,A03,11290139,3.0,3.0
1130510300103390006,A08,11305103,2.0,2.0
1138010300103080001,A03,11380103,2.0,2.0
1130510100102140014,A01,11305101,4.0,4.0
1144010400101810037,A01,11440104,1.0,1.0
1126010100101190036,A02,11260101,2.0,2.0
1144012100101520023,A01,11440121,2.0,2.0
1168010700105720004,A01,11680107,2.0,2.0
1168010800102090000,A02,11680108,1.0,1.0
1111013300101740000,A03,11110133,1.0,1.0
1135010500111160074,A03,11350105,4.0,4.0
1130510200104180014,A01,11305102,2.0,2.0
1111016400100180002,A01,11110164,3.0,3.0
1156012600100330038,A03,11560126,3.0,3.0
1144012000104750031,A01,11440120,2.0,2.0
1144010400101840022,A14,11440104,2.0,2.0
1144012000103630006,A01,11440120,2.0,2.0
1121510500102270007,A14,11215105,1.0,1.0
1150010200106280009,A01,11500102,3.0,3.0
1156013200144920000,A01,11560132,2.0,2.0
1165010200102440003,A03,11650102,2.0,2.0
1168010100106370036,A01,11680101,3.0,3.0
1130510300102730072,A01,11305103,3.0,3.0
1150010900104510009,A03,11500109,1.0,1.0
1135010500105930002,A05,11350105,2.0,2.0
1129010300100450060,A03,11290103,3.0,3.0
1171010700101120000,A03,11710107,1.0,1.0
1162010200107530002,A02,11620102,3.0,3.0
1111017400104030006,A01,11110174,3.0,3.0
1144012400102580001,A03,11440124,1.0,1.0
1114013900100440003,A03,11140139,2.0,2.0
1168010400100910001,A01,11680104,1.0,1.0
1162010200102510051,A02,11620102,4.0,4.0
1168011500107130000,A06,11680115,2.0,2.0
1135010500111200036,A01,11350105,3.0,3.0
1121510100100820001,A04,11215101,4.0,4.0
1165010800113170031,A03,11650108,1.0,1.0
1117010500100160001,A03,11170105,3.0,3.0
1141011800103470000,A06,11410118,2.0,2.0
1156011800101380041,A01,11560118,4.0,4.0
1159010500100080032,A13,11590105,3.0,3.0
1135010200100680028,A01,11350102,3.0,3.0
1159010300102580003,A06,11590103,2.0,2.0
1162010100109280001,A06,11620101,3.0,3.0
1147010300109840006,A01,11470103,3.0,3.0
1114011800100840009,A01,11140118,1.0,1.0
1156013000100250000,A11,11560130,3.0,3.0
1171011100101690010,A01,11710111,2.0,2.0
1156013200102350004,A01,11560132,3.0,3.0
1147010100109290025,A02,11470101,3.0,3.0
1114013900100100016,A11,11140139,3.0,3.0
1168010800102190021,A13,11680108,3.0,3.0
1138010200101310014,A01,11380102,2.0,2.0
1121510500100120003,A11,11215105,4.0,4.0
1165010100108620013,A03,11650101,4.0,4.0
1144010800108030000,A03,11440108,3.0,3.0
1156012100100580002,A01,11560121,2.0,2.0
1171011300100240010,A01,11710113,4.0,4.0
1141011600100520078,A01,11410116,1.0,1.0
1156013300107140004,A03,11560133,3.0,3.0
1138010700103280015,A01,11380107,3.0,3.0
1114016500103160000,A01,11140165,3.0,3.0
1168010800101600011,A03,11680108,2.0,2.0
1135010500112580000,A01,11350105,3.0,3.0
1174010100103050051,A05,11740101,1.0,1.0
1156011900100340004,A03,11560119,3.0,3.0
1156010400100100040,A08,11560104,2.0,2.0
1165010800115710006,A12,11650108,2.0,2.0
1168010800100420006,A14,11680108,1.0,1.0
1123010400102040010,A03,11230104,4.0,4.0
1156010900100680000,A01,11560109,2.0,2.0
1126010100103680035,A02,11260101,4.0,4.0
1114014800100350001,A14,11140148,2.0,2.0
1150010500107710004,A04,11500105,1.0,1.0
1150010200106470053,A13,11500102,2.0,2.0
1154510300109260000,A06,11545103,4.0,4.0
1171010300105040002,A01,11710103,1.0,1.0
1159010700101390057,A03,11590107,1.0,1.0
1129013300104050001,A01,11290133,3.0,3.0
1144012400102230021,A14,11440124,3.0,3.0
1165010800117160004,A01,11650108,3.0,3.0
1171010100102030000,A13,11710101,4.0,4.0
1130510300105980000,A11,11305103,2.0,2.0
1147010100102020007,A11,11470101,3.0,3.0
1120010700103470000,A07,11200107,3.0,3.0
1111018500100600002,A03,11110185,2.0,2.0
1129013300110370000,A03,11290133,4.0,4.0
1154510100100830005,A01,11545101,3.0,3.0
1141011900103760020,A03,11410119,4.0,4.0
1132010700101340036,A01,11320107,3.0,3.0
1120011400106680042,A14,11200114,2.0,2.0
1153010700100660032,A03,11530107,4.0,4.0
1138010800100030005,A01,11380108,4.0,4.0
1147010100110150006,A05,11470101,3.0,3.0
1117012500104200000,A08,11170125,3.0,3.0
1154510300107940000,A01,11545103,4.0,4.0
1117010100101020030,A01,11170101,1.0,1.0
1135010300102380020,A11,11350103,4.0,4.0
1147010100111820002,A03,11470101,3.0,3.0
1141011600100520128,A01,11410116,3.0,3.0
1141010200101890008,A03,11410102,4.0,4.0
1111013500102560000,A01,11110135,1.0,1.0
